career_name,domain,paid,customer_type,product_type,physical_presence,location_specific,scale,people_interaction,manual_work,creative_output,technical_work,uniqueness_level,automation_risk,social_impact,typical_age_min
UX Designer,education,sometimes,platform,physical,yes,yes,large,medium,no,yes,yes,low,medium,medium,21
Civil Engineer,design,sometimes,organizations,experience,no,no,small,medium,yes,no,yes,high,medium,high,15
Vehicle Armoring Specialist,design,sometimes,platform,content,yes,yes,medium,high,no,yes,no,medium,medium,medium,22
Marketing Specialist,non-profit,sometimes,companies,experience,no,no,large,medium,no,no,no,medium,low,low,14
Teacher,entertainment,no,individuals,physical,sometimes,yes,small,medium,no,yes,no,medium,medium,medium,29
Journalist,marketing,yes,organizations,content,yes,yes,small,medium,yes,yes,no,high,low,low,30
Photographer,music,no,brands,service,sometimes,no,small,medium,no,yes,yes,high,high,medium,27
UX Designer,marketing,sometimes,platform,content,yes,yes,small,low,yes,yes,no,medium,low,medium,29
Community Manager,social media,sometimes,companies,digital,sometimes,yes,massive,high,no,yes,no,low,medium,low,14
Photographer,non-profit,yes,organizations,experience,yes,yes,small,high,yes,no,no,medium,medium,medium,24
Video Editor,automotive,no,companies,experience,sometimes,yes,massive,medium,yes,no,no,low,high,low,30
Civil Engineer,design,sometimes,platform,digital,no,no,small,medium,yes,no,yes,high,low,medium,24
Photographer,technology,sometimes,organizations,experience,no,yes,medium,high,yes,no,yes,high,medium,high,18
Content Creator,music,sometimes,companies,experience,sometimes,yes,massive,medium,no,yes,no,low,high,low,17
YouTuber,social media,yes,organizations,physical,sometimes,yes,massive,medium,yes,no,no,medium,medium,medium,30
Journalist,religion,sometimes,individuals,physical,yes,yes,medium,high,no,no,yes,high,medium,low,19
Marketing Specialist,education,yes,individuals,service,yes,no,medium,high,yes,yes,no,low,medium,medium,23
Graphic Designer,education,yes,platform,physical,yes,yes,medium,high,no,yes,no,high,medium,medium,27
Product Manager,automotive,no,organizations,digital,yes,no,small,high,no,no,yes,medium,low,medium,21
Sound Engineer,design,sometimes,companies,digital,no,no,small,low,no,yes,no,high,medium,high,19
Civil Engineer,marketing,sometimes,companies,experience,yes,no,small,high,no,no,no,low,high,high,28
Journalist,music,no,individuals,experience,sometimes,yes,large,low,yes,no,yes,low,high,medium,16
Civil Engineer,religion,no,organizations,experience,yes,no,large,medium,no,yes,no,medium,low,low,18
Community Manager,social media,no,individuals,physical,sometimes,no,medium,high,yes,yes,yes,medium,low,medium,24
Automotive Engineer,education,no,platform,content,no,no,massive,medium,yes,no,yes,high,medium,medium,27
Social Media Influencer,automotive,no,brands,physical,no,yes,massive,medium,no,yes,no,low,low,low,26
Church Choir Member,religion,no,brands,experience,no,yes,medium,low,no,yes,no,low,low,low,20
Sound Engineer,marketing,sometimes,individuals,physical,no,yes,large,low,no,no,no,low,medium,high,22
Civil Engineer,automotive,yes,individuals,experience,sometimes,no,small,high,yes,no,yes,low,low,high,29
Marketing Specialist,music,yes,platform,digital,yes,yes,large,medium,yes,yes,yes,low,high,low,27
Automotive Engineer,social media,sometimes,brands,physical,yes,no,medium,low,yes,yes,yes,high,low,medium,24
Vehicle Armoring Specialist,design,no,individuals,physical,sometimes,yes,small,low,no,yes,no,high,low,high,22
Community Manager,entertainment,no,organizations,physical,yes,yes,large,high,no,yes,no,low,high,medium,15
Music Producer,technology,no,organizations,experience,yes,yes,massive,low,no,yes,yes,medium,medium,high,21
Data Analyst,education,no,companies,service,no,yes,massive,medium,yes,yes,no,high,low,low,25
Automotive Engineer,education,sometimes,platform,content,no,yes,small,high,yes,no,yes,medium,medium,medium,13
Civil Engineer,marketing,no,companies,digital,no,no,small,high,no,yes,yes,low,high,medium,25
Community Manager,automotive,sometimes,platform,service,sometimes,yes,massive,medium,no,no,no,low,high,medium,18
Film Editor,religion,no,individuals,digital,sometimes,no,massive,high,yes,yes,no,low,low,low,13
Social Media Influencer,entertainment,yes,individuals,service,sometimes,no,large,low,yes,yes,yes,high,low,medium,18
Video Editor,social media,no,brands,experience,no,yes,small,medium,yes,yes,no,high,low,medium,17
Journalist,design,no,brands,experience,sometimes,no,massive,low,yes,yes,no,high,medium,medium,20
Mechanical Technician,non-profit,no,platform,experience,sometimes,no,massive,high,no,yes,no,high,medium,low,30
UX Designer,religion,sometimes,individuals,physical,sometimes,yes,medium,medium,yes,no,yes,low,high,low,19
Teacher,design,yes,platform,digital,sometimes,no,small,medium,no,no,no,medium,high,low,15
Mechanical Technician,design,no,individuals,physical,sometimes,no,massive,low,no,no,yes,medium,low,low,26
Photographer,entertainment,sometimes,organizations,service,yes,no,massive,medium,no,no,yes,high,high,high,26
Religious Youth Leader,automotive,no,companies,digital,sometimes,no,massive,high,no,no,no,high,high,low,18
Data Analyst,non-profit,sometimes,platform,content,sometimes,yes,small,medium,no,no,no,low,high,low,21
Civil Engineer,music,sometimes,individuals,experience,yes,yes,small,medium,yes,yes,yes,medium,low,medium,18
Community Manager,music,no,brands,service,no,yes,small,medium,no,no,no,low,low,high,17
Church Choir Member,technology,sometimes,organizations,experience,sometimes,no,medium,high,yes,yes,yes,medium,medium,low,18
Music Producer,marketing,no,individuals,experience,sometimes,yes,massive,medium,no,yes,yes,low,medium,medium,28
Social Media Influencer,technology,yes,organizations,service,yes,yes,massive,high,yes,yes,no,low,high,high,14
Product Manager,technology,no,individuals,digital,yes,no,small,medium,no,no,yes,high,high,low,18
Church Choir Member,marketing,sometimes,platform,experience,sometimes,yes,small,medium,yes,yes,yes,low,medium,high,22
YouTuber,design,sometimes,brands,digital,no,no,small,medium,yes,yes,yes,medium,low,high,18
Data Analyst,social media,sometimes,companies,service,yes,no,medium,high,no,yes,no,medium,medium,low,29
